,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
PG,358.08B,12.76B,70.95B,3.16,2.19%,99000,7.85,29.12,24.99,3.77,0.76,4.96,5.78,1.42,246.70%,7.72%,11.80%,28.30%,16.10%,153.60%,0.10%,-89.86%,65.50%
PGR,57.08B,4.38B,40.54B,0.40,0.41%,41571,3.49,12.95,17.33,9.12,0.33,7.45,5.57,1.44,51.90%,1.42%,25.50%,30.80%,23.70%,83.30%,0.30%,-10.40%,84.20%
PLD,77.56B,1.75B,4.01B,2.32,2.23%,1712,2.39,40.38,86.17,-,0.49,2.58,1.21,0.31,-13.70%,-6.05%,15.20%,6.30%,2.70%,-9.90%,0.52%,-0.38%,98.10%
PRU,26.28B,-173.00M,60.12B,4.40,6.64%,51511,0.40,-,5.69,-,0.34,-0.62,11.64,2.71,10.60%,3.76%,28.60%,-0.30%,4.90%,-458.80%,0.20%,-0.36%,60.40%
PEG,29.56B,1.74B,9.61B,1.96,3.29%,12992,1.94,17.35,17.55,S&P 500,1.09,3.43,3.39,0.96,17.70%,1.47%,2.20%,11.40%,5.40%,194.80%,0.06%,-4.67%,71.30%
PSA,40.96B,1.22B,2.87B,8.00,3.43%,5900,8.37,33.24,32.60,1.96,0.51,7.01,7.15,1.69,-14.60%,17.00%,6.80%,24.70%,21.20%,-19.70%,9.90%,0.21%,81.80%
PHM,13.11B,1.15B,10.62B,0.48,1.01%,5245,2.19,11.25,9.55,5.62,0.52,4.25,5.00,1.12,3.00%,2.00%,23.70%,20.90%,11.90%,-12.40%,0.20%,-16.56%,90.60%
PVH,4.54B,-1006.40M,8.11B,-,-,21500,0.96,-,10.83,-,0.78,-14.19,5.74,0.17,-40.10%,-5.96%,1.20%,-19.30%,6.20%,-128.10%,1.30%,0.00%,-
QRVO,15.53B,391.70M,3.25B,-,-,7900,3.55,40.65,16.80,3.29,0.43,3.32,8.02,2.10,103.80%,12.35%,-2.50%,9.10%,4.60%,154.30%,0.50%,-12.10%,89.70%
PWR,8.62B,366.80M,11.74B,0.20,0.32%,9800,2.21,24.84,15.29,2.48,0.35,2.50,4.05,1.09,46.40%,10.03%,17.30%,9.40%,7.20%,177.40%,0.40%,-1.01%,94.90%
